"category","sound1","response"
"DogHowling","06",3.45
"Drilling","06",6.25
"DrillingPneumatic","06",3.2
"Fire","06",7.1
"Footsteps","06",6.4
"Hammer","06",6.95
"Helicopter","06",7.7
"HorseGalloping","06",4.2
"HorseNeighing","06",2.6
"HorseSnorting","06",6.1
"InsectsBuzzing","06",5.15
"InsectsStridulation","06",6.25
"JetPassing","06",6.4
"LaughingAdultFemale","06",6.1
"LaughingAdultMale","06",6.95
"LaughingChild","06",5.95
"LaughingGroup","06",7.2
"Propeller","06",7.5
"Rain","06",4.1
"River","06",5.4
"Sawing","06",4.4
"SawingManual","06",5.5
"SeaWaves","06",7.3
"Sneezing","06",7.85
"Snoring","06",6.6
"ThroatClearing","06",7.25
"Thunder","06",5.45
"TrainBrakes","06",4.7
"TrainSignal","06",9.1
"TrainWagons","06",4.9
"Waterfall","06",5.05
"Wind","06",6.8
"BirdsFlyingOff","07",7.25
"BirdSong","07",6.7
"BirdSquawk","07",7.15
"CarHorn","07",5.4
"CarSkidding","07",8.45
"CarStarting","07",3.5
"CatHissing","07",6.35
"CatMeowing","07",8.05
"CatPurring","07",4.95
"ChildrenPlaying","07",5.1
"CocktailParty","07",6.05
"CoughingAdultFemale","07",6.15
"CoughingAdultMale","07",7.05
"CowMoo","07",7.45
"CrowdApplause","07",6.1
"CrowdCheering","07",7.8
"CryingAdultFemale","07",6.9
"CryingAdultMale","07",5.9
"CryingChild","07",7.85
"DogBarking","07",5.1
"DogGrowling","07",7.95
"DogHowling","07",7.05
"Drilling","07",5.9
"DrillingPneumatic","07",4.05
"Fire","07",5.2
"Footsteps","07",4.15
"Hammer","07",5.45
"Helicopter","07",3.95
"HorseGalloping","07",4.55
"HorseNeighing","07",6.85
"HorseSnorting","07",3.4
"InsectsBuzzing","07",4.45
"InsectsStridulation","07",5.7
"JetPassing","07",6.8
"LaughingAdultFemale","07",6.5
"LaughingAdultMale","07",4.95
"LaughingChild","07",7.6
"LaughingGroup","07",7.4
"Propeller","07",6.25
"Rain","07",7.05
"River","07",7.75
"Sawing","07",5.15
"SawingManual","07",3.6
"SeaWaves","07",6.55
"Sneezing","07",5
"Snoring","07",6.9
"ThroatClearing","07",4.8
"Thunder","07",7
"TrainBrakes","07",6.35
"TrainSignal","07",6.1
"TrainWagons","07",7.1
"Waterfall","07",7.05
"Wind","07",6.1
"BirdsFlyingOff","08",6.95
"BirdSong","08",6.4
"BirdSquawk","08",4.75
"CarHorn","08",7.15
"CarSkidding","08",7.1
"CarStarting","08",3.95
"CatHissing","08",5.7
"CatMeowing","08",2.2
"CatPurring","08",3.95
"ChildrenPlaying","08",6.85
"CocktailParty","08",5.45
"CoughingAdultFemale","08",4.65
"CoughingAdultMale","08",6.8
"CowMoo","08",5.8
"CrowdApplause","08",6.5
"CrowdCheering","08",5
"CryingAdultFemale","08",4.8
"CryingAdultMale","08",8.05
"CryingChild","08",6.45
"DogBarking","08",6.25
"DogGrowling","08",4.35
"DogHowling","08",5.65
"Drilling","08",4.4
"DrillingPneumatic","08",5.05
"Fire","08",5.2
"Footsteps","08",6.35
"Hammer","08",3.45
"Helicopter","08",3.75
"HorseGalloping","08",4.95
"HorseNeighing","08",6.5
"HorseSnorting","08",5.85
"InsectsBuzzing","08",3.95
"InsectsStridulation","08",7.95
"JetPassing","08",7.25
"LaughingAdultFemale","08",4.8
"LaughingAdultMale","08",7.5
"LaughingChild","08",6.55
"LaughingGroup","08",6.2
"Propeller","08",6.1
"Rain","08",5.15
"River","08",7.35
"Sawing","08",5.6
"SawingManual","08",5
"SeaWaves","08",6.5
"Sneezing","08",5.1
"Snoring","08",5.9
"ThroatClearing","08",6.45
"Thunder","08",7.35
"TrainBrakes","08",5.15
"TrainSignal","08",3.7
"TrainWagons","08",3.85
"Waterfall","08",7.05
"Wind","08",7.65
"BirdsFlyingOff","09",2.75
"BirdSong","09",6.8
"BirdSquawk","09",7.45
"CarHorn","09",5
"CarSkidding","09",5.75
"CarStarting","09",6.3
"CatHissing","09",6.15
"CatMeowing","09",5.75
"CatPurring","09",5.85
"ChildrenPlaying","09",3.8
"CocktailParty","09",6.75
"CoughingAdultFemale","09",6.2
"CoughingAdultMale","09",5.65
"CowMoo","09",5.9
"CrowdApplause","09",5.35
"CrowdCheering","09",6.3
"CryingAdultFemale","09",4.3
"CryingAdultMale","09",6.15
"CryingChild","09",6.05
"DogBarking","09",2.4
"DogGrowling","09",5.8
"DogHowling","09",3.75
"Drilling","09",5.85
"DrillingPneumatic","09",4.25
"Fire","09",7.7
"Footsteps","09",5.55
"Hammer","09",3.8
"Helicopter","09",5.85
"HorseGalloping","09",7.75
"HorseNeighing","09",6.85
"HorseSnorting","09",6.65
"InsectsBuzzing","09",5.2
"InsectsStridulation","09",7.7
"JetPassing","09",8.1
"LaughingAdultFemale","09",3.95
"LaughingAdultMale","09",3.9
"LaughingChild","09",6.85
"LaughingGroup","09",7.3
"Propeller","09",5.1
"Rain","09",7.6
"River","09",7.65
"Sawing","09",6.1
"SawingManual","09",4.05
"SeaWaves","09",5.65
"Sneezing","09",7.25
"Snoring","09",6.55
"ThroatClearing","09",7
"Thunder","09",3.2
"TrainBrakes","09",6.7
"TrainSignal","09",4
"TrainWagons","09",5.35
"Waterfall","09",4.45
"Wind","09",5.9
"BirdsFlyingOff","10",5.05
"BirdSong","10",6.3
"BirdSquawk","10",6.9
"CarHorn","10",7.7
"CarSkidding","10",5.85
"CarStarting","10",5.3
"CatHissing","10",4.3
"CatMeowing","10",2.6
"CatPurring","10",5.75
"ChildrenPlaying","10",7.65
"CocktailParty","10",7.9
"CoughingAdultFemale","10",6.8
"CoughingAdultMale","10",6.7
"CowMoo","10",5.6
"CrowdApplause","10",4.8
"CrowdCheering","10",5.85
"CryingAdultFemale","10",4.9
"CryingAdultMale","10",3
"CryingChild","10",5.85
"DogBarking","10",4.8
"DogGrowling","10",4
"DogHowling","10",3.75
"Drilling","10",3.4
"DrillingPneumatic","10",3.55
"Fire","10",5.9
"Footsteps","10",5.35
"Hammer","10",5.2
"Helicopter","10",6.1
"HorseGalloping","10",2.85
"HorseNeighing","10",3.55
"HorseSnorting","10",6.9
"InsectsBuzzing","10",3.8
"InsectsStridulation","10",8.45
"JetPassing","10",4.55
"LaughingAdultFemale","10",4.05
"LaughingAdultMale","10",4.5
"LaughingChild","10",7.7
"LaughingGroup","10",5.45
"Propeller","10",5.2
"Rain","10",5.2
"River","10",7.5
"Sawing","10",5.7
"SawingManual","10",3.8
"SeaWaves","10",5.6
"Sneezing","10",6.1
"Snoring","10",7.15
"ThroatClearing","10",5.95
"Thunder","10",7.95
"TrainBrakes","10",5.3
"TrainSignal","10",4.5
"TrainWagons","10",7.9
"Waterfall","10",7.15
"Wind","10",5.75
